Farm,PlotNo,SpeciesName,variable,value
GFC,P273,COProb,CoverClass.25m,NA
GFC,P273,COTcoc,CoverClass.25m,NA
GFC,P273,ROSrub,CoverClass.25m,NA
GFC,P273,COPpro,CoverClass.25m,NA
GFC,P273,CLEvit,CoverClass.25m,NA
GFC,P273,PIPexc,CoverClass.25m,NA
GFC,P273,PITten,CoverClass.25m,NA
GFC,P273,MYRaus,CoverClass.25m,NA
GFC,P273,DODvis,CoverClass.25m,NA
GFC,P273,CARaus,CoverClass.25m,NA
GFC,P273,PRUNUS,CoverClass.25m,NA
GFC,P273,CORaus,CoverClass.25m,NA
GFC,P273,PENcor,CoverClass.25m,NA
GFC,P273,MUEaus,CoverClass.25m,NA
GFC,P310,CARser,CoverClass.25m,NA
GFC,P310,MELram,CoverClass.25m,NA
GFC,P310,LEPsco,CoverClass.25m,NA
GFC,P310,OLEpan,CoverClass.25m,NA
GFC,P310,PITten,CoverClass.25m,NA
GFC,P310,MYRaus,CoverClass.25m,NA
GFC,P310,CALtug,CoverClass.25m,NA
GFC,P310,PARhet,CoverClass.25m,NA
GFC,P310,PIPexc,CoverClass.25m,NA
GFC,P310,PSEarb,CoverClass.25m,NA
GFC,P310,GRIlit,CoverClass.25m,NA
GFC,P310,MYOlae,CoverClass.25m,NA
GFC,P310,COPpro,CoverClass.25m,NA
GFC,P310,COProb,CoverClass.25m,NA
GFC,P310,PENcor,CoverClass.25m,NA
GFC,P310,CORaus,CoverClass.25m,NA
GFC,P310,PRUNUS,CoverClass.25m,NA
GFC,P348,LEPsco,CoverClass.25m,NA
GFC,P348,PSEarb,CoverClass.25m,NA
GFC,P348,COPpro,CoverClass.25m,NA
GFC,P348,COPpxr,CoverClass.25m,NA
GFC,P348,COPrha,CoverClass.25m,NA
GFC,P348,CLEpan,CoverClass.25m,NA
GFC,P348,PITten,CoverClass.25m,NA
GFC,P348,PARhet,CoverClass.25m,NA
GFC,P348,PRUNUS,CoverClass.25m,NA
GFC,P348,RUBsqu,CoverClass.25m,NA
GFC,P348,CARaus,CoverClass.25m,NA
GFC,P348,MUEcom,CoverClass.25m,NA
GFC,P348,CARser,CoverClass.25m,NA
GFC,P348,CLEfoe,CoverClass.25m,NA
GFC,P348,PENcor,CoverClass.25m,NA
GFC,P348,MELram,CoverClass.25m,NA
GFC,????,CORaus,CoverClass.25m,NA
GFC,????,PARhet,CoverClass.25m,NA
GFC,????,MELram,CoverClass.25m,NA
GFC,????,MUEaus,CoverClass.25m,NA
GFC,????,CLEfoe,CoverClass.25m,NA
GFC,????,CALtug,CoverClass.25m,NA
GFC,????,MUEcom,CoverClass.25m,NA
GFC,????,MYOlae,CoverClass.25m,NA
GFC,????,COPpro,CoverClass.25m,NA
GFC,????,PENcor,CoverClass.25m,NA
GFC,????,PIPexc,CoverClass.25m,NA
GFC,????,PITten,CoverClass.25m,NA
GFC,????,ROSrub,CoverClass.25m,NA
GFC,????,DODvis,CoverClass.25m,NA
GFC,????,PSEarb,CoverClass.25m,NA
GFC,????,MYRaus,CoverClass.25m,NA
GFC,P383,HOHang,CoverClass.25m,NA
GFC,P383,PENcor,CoverClass.25m,NA
GFC,P383,CARser,CoverClass.25m,NA
GFC,P383,RUBsqu,CoverClass.25m,NA
GFC,P383,MELram,CoverClass.25m,NA
GFC,P383,COPpro,CoverClass.25m,NA
GFC,P383,MYOlae,CoverClass.25m,NA
GFC,P383,PODtot,CoverClass.25m,NA
GFC,P383,GRIlit,CoverClass.25m,NA
GFC,P383,SOPmic,CoverClass.25m,NA
GFC,P383,PARhet,CoverClass.25m,NA
GFC,P383,CALtug,CoverClass.25m,NA
GFC,P383,PIPexc,CoverClass.25m,NA
GFC,P383,MYRaus,CoverClass.25m,NA
GFC,P383,CLEfoe,CoverClass.25m,NA
GFC,P383,OLEavi,CoverClass.25m,NA
GFC,P383,PSEarb,CoverClass.25m,NA
GFC,P383,MUEcom,CoverClass.25m,NA
GFC,P383,PITten,CoverClass.25m,NA
GFC,P349,PSEarb,CoverClass.25m,NA
GFC,P349,MELram,CoverClass.25m,NA
GFC,P349,SAMnig,CoverClass.25m,NA
GFC,P349,COPpro,CoverClass.25m,NA
GFC,P349,CORarb,CoverClass.25m,NA
GFC,P349,PENcor,CoverClass.25m,NA
GFC,P349,PRUNUS,CoverClass.25m,NA
GFC,P349,PITten,CoverClass.25m,NA
GFC,P349,CALtug,CoverClass.25m,NA
GFC,P349,MYOlae,CoverClass.25m,NA
GFC,P349,PIPexc,CoverClass.25m,NA
GFC,P349,MYRaus,CoverClass.25m,NA
GFC,P349,PARhet,CoverClass.25m,NA
GFC,P349,RUBsqu,CoverClass.25m,NA
GFC,P349,MUEcom,CoverClass.25m,NA
GFC,P349,COProb,CoverClass.25m,NA
GFC,P349,PIPexc,CoverClass.25m,NA
GFC,P107,LEPsco,CoverClass.25m,NA
GFC,P107,DODvis,CoverClass.25m,NA
GFC,P107,PITten,CoverClass.25m,NA
GFC,P107,OLEpan,CoverClass.25m,NA
GFC,P107,CARaus,CoverClass.25m,NA
GFC,P107,COPpro,CoverClass.25m,NA
GFC,P107,PSEarb,CoverClass.25m,NA
GFC,P107,COPpro,CoverClass.25m,NA
GFC,P107,MYOlae,CoverClass.25m,NA
GFC,P107,ROSrub,CoverClass.25m,NA
GFC,P107,PINrad,CoverClass.25m,NA
GFC,P105,LEPsco,CoverClass.25m,NA
GFC,P105,OLEpan,CoverClass.25m,NA
GFC,P105,COPpro,CoverClass.25m,NA
GFC,P105,PARhet,CoverClass.25m,NA
GFC,P105,MUEcom,CoverClass.25m,NA
GFC,P105,CARaus,CoverClass.25m,NA
GFC,P105,MELram,CoverClass.25m,NA
GFC,P105,PITten,CoverClass.25m,NA
GFC,P75,LEPsco,CoverClass.25m,NA
GFC,P75,CARaus,CoverClass.25m,NA
GFC,P75,MUEcom,CoverClass.25m,NA
GFC,P75,COPpro,CoverClass.25m,NA
GFC,P75,ROSrub,CoverClass.25m,NA
GFC,P173,LEPsco,CoverClass.25m,NA
GFC,P173,CARaus,CoverClass.25m,NA
GFC,P173,COPpro,CoverClass.25m,NA
GFC,P173,PSEarb,CoverClass.25m,NA
GFC,P173,COPpxr,CoverClass.25m,NA
GFC,P173,MELram,CoverClass.25m,NA
GFC,P173,PITten,CoverClass.25m,NA
GFC,P173,PARhet,CoverClass.25m,NA
GFC,P173,COPvir,CoverClass.25m,NA
GFC,P173,CLEfoe,CoverClass.25m,NA
GFC,P173,OLEpan,CoverClass.25m,NA
GFC,P173,PENcor,CoverClass.25m,NA
GFC,P173,MYOlae,CoverClass.25m,NA
GFC,P173,ROSrub,CoverClass.25m,NA
GFC,P173,PINrad,CoverClass.25m,NA
GFC,P173,OLEavi,CoverClass.25m,NA
GFC,P138,LEPsco,CoverClass.25m,NA
GFC,P138,MYOlae,CoverClass.25m,NA
GFC,P138,PSEarb,CoverClass.25m,NA
GFC,P138,DODvis,CoverClass.25m,NA
GFC,P138,COPpro,CoverClass.25m,NA
GFC,P138,PITten,CoverClass.25m,NA
GFC,P138,CALtug,CoverClass.25m,NA
GFC,P138,COProb,CoverClass.25m,NA
GFC,P138,CARaus,CoverClass.25m,NA
GFC,P138,CORaus,CoverClass.25m,NA
GFC,P138,CORarb,CoverClass.25m,NA
GFC,P138,OLEpan,CoverClass.25m,NA
GFC,P138,MELram,CoverClass.25m,NA
GFC,P138,COTcoc,CoverClass.25m,NA
GFC,P138,ROSrub,CoverClass.25m,NA
GFC,P138,PRUNUS,CoverClass.25m,NA
GFC,P108,OLEpan,CoverClass.25m,NA
GFC,P108,PITten,CoverClass.25m,NA
GFC,P108,COPpro,CoverClass.25m,NA
GFC,P108,CARaus,CoverClass.25m,NA
GFC,P108,DODvis,CoverClass.25m,NA
GFC,P108,PRUNUS,CoverClass.25m,NA
GFC,P108,MELram,CoverClass.25m,NA
GFC,P108,PSEarb,CoverClass.25m,NA
GFC,P108,PARhet,CoverClass.25m,NA
GFC,P108,MYOlae,CoverClass.25m,NA
GFC,P108,COPpxr,CoverClass.25m,NA
GFC,P108,COProb,CoverClass.25m,NA
GFC,P109,COPpro,CoverClass.25m,NA
GFC,P109,PARhet,CoverClass.25m,NA
GFC,P109,CLEfoe,CoverClass.25m,NA
GFC,P109,DIStou,CoverClass.25m,NA
GFC,P109,COPpxr,CoverClass.25m,NA
GFC,P109,PARcap,CoverClass.25m,NA
GFC,P109,MUEcom,CoverClass.25m,NA
GFC,P109,MUEaxi,CoverClass.25m,NA
GFC,P109,CALtug,CoverClass.25m,NA
GFC,P79,LEPsco,CoverClass.25m,NA
GFC,P79,PARhet,CoverClass.25m,NA
GFC,P79,CARaus,CoverClass.25m,NA
GFC,P79,OLEpan,CoverClass.25m,NA
GFC,P79,COPpro,CoverClass.25m,NA
GFC,P79,MELram,CoverClass.25m,NA
GFC,P79,COPpxr,CoverClass.25m,NA
GFC,P79,PITten,CoverClass.25m,NA
GFC,P79,CORaus,CoverClass.25m,NA
GFC,P79,PSEarb,CoverClass.25m,NA
GFC,P749,PITeug,CoverClass.25m,NA
GFC,P749,GRIlit,CoverClass.25m,NA
GFC,P749,MELram,CoverClass.25m,NA
GFC,P749,MUEaus,CoverClass.25m,NA
GFC,P749,PSEarb,CoverClass.25m,NA
GFC,P749,MYRaus,CoverClass.25m,NA
GFC,P749,COPpro,CoverClass.25m,NA
GFC,P749,CALtug,CoverClass.25m,NA
GFC,P749,MELalp,CoverClass.25m,NA
GFC,P749,MUEcom,CoverClass.25m,NA
GFC,P751,MELram,CoverClass.25m,NA
GFC,P751,CARser,CoverClass.25m,NA
GFC,P751,GRIlit,CoverClass.25m,NA
GFC,P751,MUEaus,CoverClass.25m,NA
GFC,P751,COPpro,CoverClass.25m,NA
GFC,P751,URTfer,CoverClass.25m,NA
GFC,P751,ROSrub,CoverClass.25m,NA
GFC,P751,VERsal,CoverClass.25m,NA
GFC,P751,PSEcra,CoverClass.25m,NA
GFC,P751,PSEarb,CoverClass.25m,NA
GFC,P751,FUCper,CoverClass.25m,NA
GFC,P751,SOPmic,CoverClass.25m,NA
GFC,P759,MELram,CoverClass.25m,NA
GFC,P759,COPpro,CoverClass.25m,NA
GFC,P759,MUEaus,CoverClass.25m,NA
GFC,P759,PARhet,CoverClass.25m,NA
GFC,P759,ILEmic,CoverClass.25m,NA
GFC,P759,DIStou,CoverClass.25m,NA
GFC,P759,SCAgen,CoverClass.25m,NA
GFC,P759,CALtug,CoverClass.25m,NA
GFC,P759,MELalp,CoverClass.25m,NA
GFC,P759,URTfer,CoverClass.25m,NA
GFC,P759,GRIlit,CoverClass.25m,NA
GFC,P145,LEPsco,CoverClass.25m,NA
GFC,P145,CARaus,CoverClass.25m,NA
GFC,P145,COPpro,CoverClass.25m,NA
GFC,P145,COPpxr,CoverClass.25m,NA
GFC,P145,ROSrub,CoverClass.25m,NA
GFC,P145,PITten,CoverClass.25m,NA
GFC,P145,OLEpan,CoverClass.25m,NA
GFC,P145,MELram,CoverClass.25m,NA
GFC,P145,MYRaus,CoverClass.25m,NA
GFC,P145,PENcor,CoverClass.25m,NA
GFC,P145,PSEarb,CoverClass.25m,NA
GFC,P145,MYOlae,CoverClass.25m,NA
GFC,P145,PARhet,CoverClass.25m,NA
GFC,P146,MELram,CoverClass.25m,NA
GFC,P146,PENcor,CoverClass.25m,NA
GFC,P146,OLEpan,CoverClass.25m,NA
GFC,P146,PITten,CoverClass.25m,NA
GFC,P146,CORaus,CoverClass.25m,NA
GFC,P146,MUEaus,CoverClass.25m,NA
GFC,P146,COPpro,CoverClass.25m,NA
GFC,P146,DIStou,CoverClass.25m,NA
GFC,P146,CARaus,CoverClass.25m,NA
GFC,P146,PARhet,CoverClass.25m,NA
GFC,P146,COPpxr,CoverClass.25m,NA
GFC,P146,PSEarb,CoverClass.25m,NA
KAI,Return1,AGAaus,CoverClass.25m,7
KAI,Return1,PODtot,CoverClass.25m,NA
KAI,Return1,PHYtri,CoverClass.25m,NA
KAI,Return1,DACdac,CoverClass.25m,NA
KAI,Return1,CLEmat,CoverClass.25m,NA
KAI,Return1,PRUtax,CoverClass.25m,NA
KAI,Return1,NESlan,CoverClass.25m,NA
KAI,Return1,VITluc,CoverClass.25m,NA
KAI,Return1,MYRaus,CoverClass.25m,NA
KAI,Return1,RHOsap,CoverClass.25m,NA
KAI,Return1,KNIexc,CoverClass.25m,NA
KAI,Return1,HEDarb,CoverClass.25m,NA
KAI,Return1,PSEcra,CoverClass.25m,NA
KAI,Return1,CYAdea,CoverClass.25m,NA
KAI,Return1,COProb,CoverClass.25m,NA
KAI,Return1,COParb,CoverClass.25m,NA
KAI,Return1,COPspa,CoverClass.25m,NA
KAI,Return1,COPrha,CoverClass.25m,NA
KAI,Return1,COPare,CoverClass.25m,NA
KAI,Return1,LEUfas,CoverClass.25m,NA
KAI,Return1,GENlig,CoverClass.25m,NA
KAI,Return1,CORlae,CoverClass.25m,NA
KAI,Return1,ALEexc,CoverClass.25m,NA
KAI,Return1,DYSspe,CoverClass.25m,NA
KAI,Return1,BEItar,CoverClass.25m,NA
KAI,Return2,DACdac,CoverClass.25m,NA
KAI,Return2,METper,CoverClass.25m,NA
KAI,Return2,CORlae,CoverClass.25m,NA
KAI,Return2,MYRaus,CoverClass.25m,NA
KAI,Return2,CORaus,CoverClass.25m,NA
KAI,Return2,CYAdea,CoverClass.25m,NA
KAI,Return2,RHOsap,CoverClass.25m,NA
KAI,Return2,MELram,CoverClass.25m,NA
KAI,Return2,SCHdig,CoverClass.25m,NA
KAI,Return2,VITluc,CoverClass.25m,NA
KAI,Return2,ALEexc,CoverClass.25m,NA
KAI,Return2,COPspa,CoverClass.25m,NA
KAI,Return2,COPare,CoverClass.25m,NA
KAI,Return2,GENlig,CoverClass.25m,NA
KAI,Return2,BEItar,CoverClass.25m,NA
KAI,Return2,DYSspe,CoverClass.25m,NA
KAI,Return3,DACdac,CoverClass.25m,NA
KAI,Return3,ELAhoo,CoverClass.25m,NA
KAI,Return3,BEItar,CoverClass.25m,NA
KAI,Return3,RHOsap,CoverClass.25m,NA
KAI,Return3,CORlae,CoverClass.25m,NA
KAI,Return3,SCHdig,CoverClass.25m,NA
KAI,Return3,VITluc,CoverClass.25m,NA
KAI,Return3,FREban,CoverClass.25m,NA
KAI,Return3,CYAmed,CoverClass.25m,NA
KAI,Return3,COPare,CoverClass.25m,NA
KAI,Return3,CYAdea,CoverClass.25m,NA
KAI,Return3,GENlig,CoverClass.25m,NA
KAI,Return3,COPspa,CoverClass.25m,NA
KAI,Return3,DYSspe,CoverClass.25m,NA
KAI,Return3,ALEexc,CoverClass.25m,NA
KAI,Return3,PIPexc,CoverClass.25m,NA
KAI,Return3,KNIexc,CoverClass.25m,NA
KAI,Return4,DACdac,CoverClass.25m,NA
KAI,Return4,PODtot,CoverClass.25m,NA
KAI,Return4,CORaus,CoverClass.25m,NA
KAI,Return4,PSEcra,CoverClass.25m,NA
KAI,Return4,COPare,CoverClass.25m,NA
KAI,Return4,COPrha,CoverClass.25m,NA
KAI,Return4,COParb,CoverClass.25m,NA
KAI,Return4,NESlan,CoverClass.25m,NA
KAI,Return4,MYRaus,CoverClass.25m,NA
KAI,Return4,COProb,CoverClass.25m,NA
KAI,Return4,PHYtri,CoverClass.25m,NA
KAI,Return4,CARser,CoverClass.25m,NA
KAI,Return4,CLEmat,CoverClass.25m,NA
KAI,Return4,BEItar,CoverClass.25m,NA
KAI,Return4,RHOsap,CoverClass.25m,NA
KAI,Return5,DACdac,CoverClass.25m,NA
KAI,Return5,PODtot,CoverClass.25m,NA
KAI,Return5,GENlig,CoverClass.25m,NA
KAI,Return5,LIGluc,CoverClass.25m,NA
KAI,Return5,PSEcra,CoverClass.25m,NA
KAI,Return5,MYRaus,CoverClass.25m,NA
KAI,Return5,CYAdea,CoverClass.25m,NA
KAI,Return5,COPspa,CoverClass.25m,NA
KAI,Return5,COPrha,CoverClass.25m,NA
KAI,Return5,COPare,CoverClass.25m,NA
KAI,Return5,RHOsap,CoverClass.25m,NA
KAI,Return5,CORlae,CoverClass.25m,NA
KAI,Return5,PHYtri,CoverClass.25m,NA
KAI,Return5,LEUfas,CoverClass.25m,NA
KAI,Return5,CARser,CoverClass.25m,NA
KAI,Return5,BEItar,CoverClass.25m,NA
KAI,Return5,HEDarb,CoverClass.25m,NA
KAI,Return5,VITluc,CoverClass.25m,NA
KAI,Return5,METper,CoverClass.25m,NA
KAI,Return6,DACdac,CoverClass.25m,2
KAI,Return6,PHYtri,CoverClass.25m,NA
KAI,Return6,BEItar,CoverClass.25m,NA
KAI,Return6,KNIexc,CoverClass.25m,NA
KAI,Return6,CORlae,CoverClass.25m,NA
KAI,Return6,METper,CoverClass.25m,NA
KAI,Return6,RIPsca,CoverClass.25m,NA
KAI,Return6,MYRaus,CoverClass.25m,NA
KAI,Return6,RHOsap,CoverClass.25m,NA
KAI,Return6,CYAdea,CoverClass.25m,NA
KAI,Return6,NESlan,CoverClass.25m,NA
KAI,Return6,COPare,CoverClass.25m,NA
KAI,Return6,COPspa,CoverClass.25m,NA
KAI,Return6,PSEcra,CoverClass.25m,NA
KAI,Return7,DACdac,CoverClass.25m,NA
KAI,Return7,VITluc,CoverClass.25m,NA
KAI,Return7,BEItar,CoverClass.25m,NA
KAI,Return7,CORlae,CoverClass.25m,NA
KAI,Return7,RHOsap,CoverClass.25m,NA
KAI,Return7,MYRaus,CoverClass.25m,NA
KAI,Return7,PSEcra,CoverClass.25m,NA
KAI,Return7,METful,CoverClass.25m,NA
KAI,Return7,METper,CoverClass.25m,NA
KAI,Return7,COPare,CoverClass.25m,NA
KAI,Return7,COPrha,CoverClass.25m,NA
KAI,Return7,DYSspe,CoverClass.25m,NA
KAI,Return7,KNIexc,CoverClass.25m,NA
KAI,Return8,DACdac,CoverClass.25m,NA
KAI,Return8,PHYtri,CoverClass.25m,NA
KAI,Return8,KNIexc,CoverClass.25m,NA
KAI,Return8,METful,CoverClass.25m,NA
KAI,Return8,PSEcra,CoverClass.25m,NA
KAI,Return8,MYRaus,CoverClass.25m,NA
KAI,Return8,CYAdea,CoverClass.25m,NA
KAI,Return8,NESlan,CoverClass.25m,NA
KAI,Return8,COPare,CoverClass.25m,NA
KAI,Return8,PODtot,CoverClass.25m,NA
KAI,Return8,MUEcom,CoverClass.25m,NA
KAI,Return8,GENlig,CoverClass.25m,NA
KAI,Return8,METper,CoverClass.25m,NA
KAI,Return8,MELram,CoverClass.25m,NA
KAI,Return8,CORlae,CoverClass.25m,NA
KAI,Return8,COPspa,CoverClass.25m,NA
KAI,Return8,RHOsap,CoverClass.25m,NA
KAI,Return8,VITluc,CoverClass.25m,NA
KAI,Return8,COPrha,CoverClass.25m,NA
KAI,Return8,BEItar,CoverClass.25m,NA
KAI,Return8,ALEexc,CoverClass.25m,NA
KAI,Return8,DYSspe,CoverClass.25m,NA
GFC,P704,MELram,CoverClass.25m,NA
GFC,P704,OLEpan,CoverClass.25m,NA
GFC,P704,PSEcra,CoverClass.25m,NA
GFC,P704,MYRaus,CoverClass.25m,NA
GFC,P704,COPpro,CoverClass.25m,NA
GFC,P716,GRIlit,CoverClass.25m,NA
GFC,P716,PSEcra,CoverClass.25m,NA
GFC,P716,MELram,CoverClass.25m,NA
GFC,P716,MYRaus,CoverClass.25m,NA
GFC,P716,PENcor,CoverClass.25m,NA
GFC,P716,PIPexc,CoverClass.25m,NA
GFC,P716,COPpro,CoverClass.25m,NA
GFC,P716,PARhet,CoverClass.25m,NA
GFC,P716,MUEcom,CoverClass.25m,NA
GFC,P716,PITten,CoverClass.25m,NA
GFC,P716,OLEpan,CoverClass.25m,NA
GFC,P716,PSEarb,CoverClass.25m,NA
GFC,P705,MELram,CoverClass.25m,NA
GFC,P705,PSEarb,CoverClass.25m,NA
GFC,P705,OLEpan,CoverClass.25m,NA
GFC,P705,MYRaus,CoverClass.25m,NA
GFC,P705,PIPexc,CoverClass.25m,NA
GFC,P705,COPpro,CoverClass.25m,NA
GFC,P705,GRIlit,CoverClass.25m,NA
GFC,P705,PARhet,CoverClass.25m,NA
GFC,P675,SOPmic,CoverClass.25m,NA
GFC,P675,MUEaus,CoverClass.25m,NA
GFC,P675,COPpro,CoverClass.25m,NA
GFC,P675,DIStou,CoverClass.25m,NA
GFC,P675,MUEcom,CoverClass.25m,NA
GFC,P462,COPpro,CoverClass.25m,NA
GFC,P462,PARcap,CoverClass.25m,NA
GFC,P462,DIStou,CoverClass.25m,NA
GFC,P428,COPpro,CoverClass.25m,NA
GFC,P428,DIStou,CoverClass.25m,NA
GFC,P428,MUEcom,CoverClass.25m,NA
GFC,P428,PITten,CoverClass.25m,NA
GFC,P357,COPpro,CoverClass.25m,NA
GFC,P357,DIStou,CoverClass.25m,NA
GFC,P357,ROSrub,CoverClass.25m,NA
GFC,P357,MUEcom,CoverClass.25m,NA
GFC,P655,SALxfr,CoverClass.25m,NA
GFC,P655,URTfer,CoverClass.25m,NA
GFC,P655,MUEaus,CoverClass.25m,NA
GFC,P655,MELram,CoverClass.25m,NA
GFC,P655,SAMnig,CoverClass.25m,NA
GFC,P655,COPpro,CoverClass.25m,NA
GFC,P655,GRIlit,CoverClass.25m,NA
TMN,P282,PRUtax,CoverClass.25m,NA
TMN,P282,PODtot ,CoverClass.25m,NA
TMN,P282,PHYoct,CoverClass.25m,NA
TMN,P282,MUEaus,CoverClass.25m,NA
TMN,P417,PINrad,CoverClass.25m,1
TMN,P417,PODtot ,CoverClass.25m,NA
TMN,P417,MELram ,CoverClass.25m,NA
TMN,P417,METdif,CoverClass.25m,NA
TMN,P417,SCHdig,CoverClass.25m,NA
TMN,P417,RHAsol,CoverClass.25m,NA
TMN,P417,HEDarb,CoverClass.25m,NA
TMN,P417,FUCexc,CoverClass.25m,NA
TMN,P417,RIPsca,CoverClass.25m,NA
TMN,P417,CARser,CoverClass.25m,NA
TMN,P417,MUEaus,CoverClass.25m,NA
TMN,P417,PARhet,CoverClass.25m,NA
TMN,P417,Pastet,CoverClass.25m,NA
TMN,P417,CLEmat,CoverClass.25m,NA
TMN,P419,MELram,CoverClass.25m,NA
TMN,P419,BEItaw,CoverClass.25m,NA
TMN,P419,RIPsca,CoverClass.25m,NA
TMN,P419,METdif,CoverClass.25m,NA
TMN,P419,PSEarb ,CoverClass.25m,NA
TMN,P419,DICsqu,CoverClass.25m,NA
TMN,P419,BRArep ,CoverClass.25m,NA
TMN,P419,ALEexc,CoverClass.25m,NA
TMN,P419,GENlig,CoverClass.25m,NA
TMN,P419,SCHdig,CoverClass.25m,NA
TMN,P419,HEDarb,CoverClass.25m,NA
TMN,P419,KNIexc,CoverClass.25m,NA
TMN,P419,MUEaus,CoverClass.25m,NA
TMN,P419,PARhet,CoverClass.25m,NA
TMN,P419,WEIrac,CoverClass.25m,NA
TMN,P419,COPgra ,CoverClass.25m,NA
TMN,P419,METper,CoverClass.25m,NA
TMN,P419,DACdac,CoverClass.25m,NA
TMN,P401,PSEarb,CoverClass.25m,NA
TMN,P401,PSEarb,CoverClass.25m,NA
TMN,P401,WEIrac,CoverClass.25m,NA
TMN,P401,DICsqu,CoverClass.25m,NA
TMN,P401,METdif,CoverClass.25m,NA
TMN,P401,MELram,CoverClass.25m,NA
TMN,P401,MELram,CoverClass.25m,NA
TMN,P401,CYAdea,CoverClass.25m,NA
TMN,P401,RUBcis,CoverClass.25m,NA
TMN,P401,KNIexc,CoverClass.25m,NA
TMN,P401,CARser,CoverClass.25m,NA
TMN,P401,PARhet  ,CoverClass.25m,NA
TMN,P401,SCHdig,CoverClass.25m,NA
TMN,P401,RIPsca,CoverClass.25m,NA
TMN,P401,HEDarb,CoverClass.25m,NA
TMN,P401,BEItaw,CoverClass.25m,NA
TMN,P401,METper,CoverClass.25m,NA
TMN,P401,FUCexc,CoverClass.25m,NA
TMN,P401,PODtot,CoverClass.25m,NA
TMN,P379,PINrad,CoverClass.25m,6
TMN,P379,PODtot,CoverClass.25m,NA
TMN,P379,PENcor,CoverClass.25m,NA
TMN,P379,COPrha,CoverClass.25m,NA
TMN,P379,RHAsol,CoverClass.25m,NA
TMN,P379,MELram,CoverClass.25m,NA
TMN,P379,CLEvit,CoverClass.25m,NA
TMN,P379,RUBfru,CoverClass.25m,NA
TMN,P379,DACdac,CoverClass.25m,NA
TMN,P379,ARIser,CoverClass.25m,NA
TMN,P379,PRUtax,CoverClass.25m,NA
TMN,P379,KNIexc,CoverClass.25m,NA
TMN,P379,CARser ,CoverClass.25m,NA
TMN,P379,RIPsca,CoverClass.25m,NA
TMN,P379,PARhet,CoverClass.25m,NA
TMN,P379,RUBcis,CoverClass.25m,NA
TMN,P379,HEDarb,CoverClass.25m,NA
TMN,P379,ALEexc,CoverClass.25m,NA
TMN,P379,PSEarb,CoverClass.25m,NA
TMN,P379,MUEaus,CoverClass.25m,NA
TMN,P379,CLEmat,CoverClass.25m,NA
TMN,P379,BEItaw,CoverClass.25m,NA
