NVSCode,TaxonID,SpeciesName,Family,Genus,Species,BioStatus,PlantType,Palatibility,GrowthForm,PreferredTaxonID,PreferredCode,PreferredName,VernacularNames
ACIKIR,55,Aciphylla kirkii,Umbelliferae,Aciphylla,kirkii,Indigenous Endemic,Vascular,Unclassified,Forb,55,ACIKIR,Aciphylla kirkii,
ACILEC,6588,Aciphylla lecomtei,Umbelliferae,Aciphylla,lecomtei,Indigenous Endemic,Vascular,Unclassified,Forb,6588,ACILEC,Aciphylla lecomtei,
ACILEI,6589,Aciphylla leighii,Umbelliferae,Aciphylla,leighii,Indigenous Endemic,Vascular,Unclassified,Forb,6589,ACILEI,Aciphylla leighii,
ACILOM,6531,Aciphylla 'Lomond',Umbelliferae,Aciphylla,'Lomond',Indigenous Endemic,Vascular,Unclassified,Forb,6531,ACILOM,Aciphylla 'Lomond',
ACILYA,56,Aciphylla lyallii,Umbelliferae,Aciphylla,lyallii,Indigenous Endemic,Vascular,Unclassified,Forb,56,ACILYA,Aciphylla lyallii,
ACIMON,57,Aciphylla monroi,Umbelliferae,Aciphylla,monroi,Indigenous Endemic,Vascular,Unclassified,Forb,57,ACIMON,Aciphylla monroi,little speargrass; 
ACIMOT,5394,Aciphylla montana,Umbelliferae,Aciphylla,montana,Indigenous Endemic,Vascular,Unclassified,Forb,5394,ACIMOT,Aciphylla montana,
ACIMUL,58,Aciphylla multisecta,Umbelliferae,Aciphylla,multisecta,Indigenous Endemic,Vascular,Unclassified,Forb,58,ACIMUL,Aciphylla multisecta,
ACIMVG,5454,Aciphylla montana var. gracilis,Umbelliferae,Aciphylla,montana,Indigenous Endemic,Vascular,Unclassified,Forb,5454,ACIMVG,Aciphylla montana var. gracilis,
ACIPHY,64,Aciphylla species,Umbelliferae,Aciphylla,,Indigenous Non-Endemic,Vascular,Unclassified,Forb,64,ACIPHY,Aciphylla species,Karamea; Kueo; Kurikuri; Kuweo; Spaniard; Speargrass; Taramea; 
ACIPIN,59,Aciphylla pinnatifida,Umbelliferae,Aciphylla,pinnatifida,Indigenous Endemic,Vascular,Unclassified,Forb,59,ACIPIN,Aciphylla pinnatifida,
ACIPOL,60,Aciphylla polita,Umbelliferae,Aciphylla,polita,Indigenous Endemic,Vascular,Unclassified,Forb,60,ACIPOL,Aciphylla polita,
ACIREN,37,Acianthus reniformis,Orchidaceae,Acianthus,reniformis,Indigenous Endemic,Vascular,Unclassified,Forb,6178,CYRROT,Cyrtostylis rotundifolia,
ACISCO,61,Aciphylla scott-thomsonii,Umbelliferae,Aciphylla,scott-thomsonii,Indigenous Endemic,Vascular,Unclassified,Forb,61,ACISCO,Aciphylla scott-thomsonii,Giant spaniard; 
ACISIM,62,Aciphylla similis,Umbelliferae,Aciphylla,similis,Indigenous Endemic,Vascular,Unclassified,Forb,62,ACISIM,Aciphylla similis,
ACISIN,5520,Acianthus sinclairii,Orchidaceae,Acianthus,sinclairii,Indigenous Endemic,Vascular,Unclassified,Forb,5520,ACISIN,Acianthus sinclairii,
ACISMP,63,Aciphylla simplex,Umbelliferae,Aciphylla,simplex,Indigenous Endemic,Vascular,Unclassified,Forb,63,ACISMP,Aciphylla simplex,
ACISPE,4043,Aciphylla spedenii,Umbelliferae,Aciphylla,spedenii,Indigenous Endemic,Vascular,Unclassified,Forb,4043,ACISPE,Aciphylla spedenii,
ACISQU,65,Aciphylla squarrosa,Umbelliferae,Aciphylla,squarrosa,Indigenous Endemic,Vascular,Unclassified,Forb,65,ACISQU,Aciphylla squarrosa,Kākaramea (scent); Karamea; Kueo; Kurikuri; Kuweo; Papaī (young root); Spaniard; Speargrass; Taramea; Tūmatukuru (mature form); 
ACISTA,6590,Aciphylla stannensis,Umbelliferae,Aciphylla,stannensis,Indigenous Endemic,Vascular,Unclassified,Forb,6590,ACISTA,Aciphylla stannensis,Tin Range speargrass; 
ACISUB,66,Aciphylla subflabellata,Umbelliferae,Aciphylla,subflabellata,Indigenous Endemic,Vascular,Unclassified,Forb,66,ACISUB,Aciphylla subflabellata,Spaniard; 
ACISVF,6593,Aciphylla squarrosa var. flaccida,Umbelliferae,Aciphylla,squarrosa,Indigenous Endemic,Vascular,Unclassified,Forb,6593,ACISVF,Aciphylla squarrosa var. flaccida,
ACITAK,67,Aciphylla takahea,Umbelliferae,Aciphylla,takahea,Indigenous Endemic,Vascular,Unclassified,Forb,67,ACITAK,Aciphylla takahea,
ACITOW,68,Aciphylla townsonii,Umbelliferae,Aciphylla,townsonii,Indigenous Endemic,Vascular,Unclassified,Forb,6179,ACIHOO,Aciphylla hookeri,
ACITRA,3287,Aciphylla traillii,Umbelliferae,Aciphylla,traillii,Indigenous Endemic,Vascular,Unclassified,Forb,3287,ACITRA,Aciphylla traillii,Stewart Island speargrass; 
ACITRI,4044,Aciphylla trifoliolata,Umbelliferae,Aciphylla,trifoliolata,Indigenous Endemic,Vascular,Unclassified,Forb,4044,ACITRI,Aciphylla trifoliolata,
ACITRV,6591,Aciphylla traversii,Umbelliferae,Aciphylla,traversii,Indigenous Endemic,Vascular,Unclassified,Forb,6591,ACITRV,Aciphylla traversii,Chatham Island speargrass; 
ACIVER,69,Aciphylla verticillata,Umbelliferae,Aciphylla,verticillata,Indigenous Endemic,Vascular,Unclassified,Forb,69,ACIVER,Aciphylla verticillata,
ACIVIR,39,Acianthus viridis,Orchidaceae,Acianthus,viridis,Indigenous Endemic,Vascular,Unclassified,Forb,3068,TOWDEF,Townsonia deflexa,
ACKROS,70,Ackama rosifolia,Cunoniaceae,Ackama,rosifolia,Indigenous Endemic,Vascular,Unclassified,Tree,70,ACKROS,Ackama rosifolia,mākaka; makamaka; 
ACMCOL,5381,Acromastigum colensoanum,Lepidoziaceae,Acromastigum,colensoanum,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,5381,ACMCOL,Acromastigum colensoanum,
ACMSMI,6737,Acmena smithii,Myrtaceae,Acmena,smithii,Exotic,Vascular,Unclassified,Tree,6906,SYZSMI,Syzygium smithii,Lilly pilly; Monkey apple; White monkey apple; 
ACRAFA,8066,Acromastigum aff. anisostomum,Lepidoziaceae,Acromastigum,aff. anisostomum,Unknown,Non Vascular,Unclassified,Unknown,8066,ACRAFA,Acromastigum aff. anisostomum,
ACRANI,3432,Acromastigum anisostomum,Lepidoziaceae,Acromastigum,anisostomum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,3432,ACRANI,Acromastigum anisostomum,
ACRAUR,3292,Acrocladium auriculatum,Lembophyllaceae,Acrocladium,auriculatum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,71,ACRCHL,Acrocladium chlamydophyllum,
ACRAVA,4426,Acromastigum anisostomum var. anisostomum,Lepidoziaceae,Acromastigum,anisostomum,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,3432,ACRANI,Acromastigum anisostomum,
ACRAVM,7494,Acromastigum anisostomum var. minutum,Lepidoziaceae,Acromastigum,anisostomum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,3432,ACRANI,Acromastigum anisostomum,
ACRBIS,4425,Acrochila biserialis,Plagiochilaceae,Acrochila,biserialis,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,8144,CHIBIR,Chiastocaulon biserialis,
ACRBRA,7252,Acromastigum brachyphyllum,Lepidoziaceae,Acromastigum,brachyphyllum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,3432,ACRANI,Acromastigum anisostomum,
ACRCAV,4979,Acromastigum cavifolium,Lepidoziaceae,Acromastigum,cavifolium,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,4979,ACRCAV,Acromastigum cavifolium,
ACRCHL,71,Acrocladium chlamydophyllum,Lembophyllaceae,Acrocladium,chlamydophyllum,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,71,ACRCHL,Acrocladium chlamydophyllum,
ACRCIN,3988,Acrobolbus cinerascens,Acrobolbaceae,Acrobolbus,cinerascens,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,3988,ACRCIN,Acrobolbus cinerascens,
ACRCOL,5380,Acrothamnus colensoi,Ericaceae,Acrothamnus,colensoi,Indigenous Endemic,Vascular,Unclassified,Shrub,5380,ACRCOL,Acrothamnus colensoi,
ACRCON,5787,Acrobolbus concinnus,Acrobolbaceae,Acrobolbus,concinnus,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5787,ACRCON,Acrobolbus concinnus,
ACRCUN,4428,Acromastigum cunninghamii,Lepidoziaceae,Acromastigum,cunninghamii,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4428,ACRCUN,Acromastigum cunninghamii,
ACRCUS,4907,Acrocladium cuspidatum,Lembophyllaceae,Acrocladium,cuspidatum,Exotic,Non Vascular,Unclassified,NonVascular,4908,CALCUS,Calliergonella cuspidata,
ACREPI,8122,Acrobolbus epiphytus,Acrobolbaceae,Acrobolbus,epiphytus,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,8122,ACREPI,Acrobolbus epiphytus,
ACRKNI,8123,Acrobolbus knightii,Acrobolbaceae,Acrobolbus,knightii,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,8123,ACRKNI,Acrobolbus knightii,
ACRLOP,4013,Acrobolbus lophocoleoides,Acrobolbaceae,Acrobolbus,lophocoleoides,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,4013,ACRLOP,Acrobolbus lophocoleoides,
ACRMAR,5621,Acromastigum marginatum,Lepidoziaceae,Acromastigum,marginatum,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,5621,ACRMAR,Acromastigum marginatum,
ACRMOL,7174,Acrolejeunea mollis,Lejeuneaceae,Acrolejeunea,mollis,Indigenous Endemic,Non Vascular,Unclassified,NonVascular,7174,ACRMOL,Acrolejeunea mollis,
ACRMOO,4429,Acromastigum mooreanum,Lepidoziaceae,Acromastigum,mooreanum,Indigenous Non-Endemic,Non vascular,Unclassified,NonVascular,4429,ACRMOO,Acromastigum mooreanum,
ACROBO,4423,Acrobolbus species,Acrobolbaceae,Acrobolbus,,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,4423,ACROBO,Acrobolbus species,
ACROCH,5750,Acrobolbus ochrophyllus,Acrobolbaceae,Acrobolbus,ochrophyllus,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,5750,ACROCH,Acrobolbus ochrophyllus,
ACROCL,72,Acrocladium species,Lembophyllaceae,Acrocladium,,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,72,ACROCL,Acrocladium species,
ACROLE,7251,Acrolejeunea species,Lejeuneaceae,Acrolejeunea,,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,7251,ACROLE,Acrolejeunea species,
ACROMA,73,Acromastigum species,Lepidoziaceae,Acromastigum,,Indigenous Non-Endemic,Non Vascular,Unclassified,NonVascular,73,ACROMA,Acromastigum species,
